Seq,Index_Group,Index_Serial,Design_Code,Finish_Code,Product_Name,Printed_Page,PDF_Page,Category,Filename,Crop_Method
140,PRIMARY,1,1103,PV,OFF WHITE,64,35,04_POLISHED_VENEER,140_1103_PV_OFF_WHITE.jpg,layout
141,PRIMARY,157,1728,PV,AVOISE OAK,64,35,04_POLISHED_VENEER,141_1728_PV_AVOISE_OAK.jpg,layout
142,PRIMARY,77,1597,PV,BELGIUM OAK MEDIUM,65,36,04_POLISHED_VENEER,142_1597_PV_BELGIUM_OAK_MEDIUM.jpg,dimension
143,PRIMARY,66,1590,PV,NATURAL SATEEN WOOD,65,36,04_POLISHED_VENEER,143_1590_PV_NATURAL_SATEEN_WOOD.jpg,dimension
144,PRIMARY,46,1572,PV,FERRO WOOD DARK,66,36,04_POLISHED_VENEER,144_1572_PV_FERRO_WOOD_DARK.jpg,dimension
145,PRIMARY,7,1321,PV,IRISH BROWN,66,36,04_POLISHED_VENEER,145_1321_PV_IRISH_BROWN.jpg,dimension
146,PRIMARY,12,1544,CT,ARKOS SAND DARK,67,37,20_CONCRETE_COLLECTION,146_1544_CT_ARKOS_SAND_DARK.jpg,dimension
147,PRIMARY,13,1545,CT,ARKOS SAND LIGHT,67,37,20_CONCRETE_COLLECTION,147_1545_CT_ARKOS_SAND_LIGHT.jpg,dimension
148,PRIMARY,29,1549,CT,FOSSIL MARBLE,68,37,20_CONCRETE_COLLECTION,148_1549_CT_FOSSIL_MARBLE.jpg,layout
149,PRIMARY,124,1712,ZR,BURK NATURAL,69,38,21_ZERO_WOOD,149_1712_ZR_BURK_NATURAL.jpg,layout
150,PRIMARY,120,1711,ZR,TIGER TEAK,70,38,21_ZERO_WOOD,150_1711_ZR_TIGER_TEAK.jpg,layout
151,PRIMARY,141,1721,ZR,CLASSIC CEDAR DARK,71,39,21_ZERO_WOOD,151_1721_ZR_CLASSIC_CEDAR_DARK.jpg,layout
152,PRIMARY,140,1720,ZR,CLASSIC CEDAR LIGHT,72,39,21_ZERO_WOOD,152_1720_ZR_CLASSIC_CEDAR_LIGHT.jpg,dimension
153,PRIMARY,129,1714,ZR,HONEY GREY,72,39,21_ZERO_WOOD,153_1714_ZR_HONEY_GREY.jpg,dimension
154,PRIMARY,17,1547,HF,TANGLE SMOKE,73,40,22_ACRYFLUTE_COLLECTION,154_1547_HF_TANGLE_SMOKE.jpg,dimension
155,PRIMARY,30,1549,HF,FOSSILE MARBLE,73,40,22_ACRYFLUTE_COLLECTION,155_1549_HF_FOSSILE_MARBLE.jpg,dimension
156,PRIMARY,23,1548,HF,OUREA MARBLE,74,40,22_ACRYFLUTE_COLLECTION,156_1548_HF_OUREA_MARBLE.jpg,layout
157,PRIMARY,18,1547,SC,TANGLE SMOKE,75,41,23_POLISHED_STONE,157_1547_SC_TANGLE_SMOKE.jpg,dimension
158,PRIMARY,34,1550,SC,VALLY STONE,75,41,23_POLISHED_STONE,158_1550_SC_VALLY_STONE.jpg,dimension
159,PRIMARY,52,1576,SC,TRENTA STONE,76,41,23_POLISHED_STONE,159_1576_SC_TRENTA_STONE.jpg,dimension
160,PRIMARY,82,1600,HG,WHITE GOLDEN PEARL,78,42,24_HIGH_GLOSS,160_1600_HG_WHITE_GOLDEN_PEARL.jpg,dimension
161,PRIMARY,101,1606,HG,SANDY CHROME,79,43,24_HIGH_GLOSS,161_1606_HG_SANDY_CHROME.jpg,dimension
162,PRIMARY,105,1607,HG,DARK UMBER,79,43,24_HIGH_GLOSS,162_1607_HG_DARK_UMBER.jpg,dimension
163,PRIMARY,108,1608,HG,SMERALDO,80,43,24_HIGH_GLOSS,163_1608_HG_SMERALDO.jpg,dimension
164,PRIMARY,110,1609,HG,VEINED SLATE GREEN,81,44,24_HIGH_GLOSS,164_1609_HG_VEINED_SLATE_GREEN.jpg,dimension
165,PRIMARY,86,1601,HG,SANDY MIST LIGHT,82,44,24_HIGH_GLOSS,165_1601_HG_SANDY_MIST_LIGHT.jpg,dimension
166,PRIMARY,90,1602,HG,SANDY MIST DARK,82,44,24_HIGH_GLOSS,166_1602_HG_SANDY_MIST_DARK.jpg,dimension
167,PRIMARY,98,1605,HG,CROSS CELESTIAL DARK,83,45,24_HIGH_GLOSS,167_1605_HG_CROSS_CELESTIAL_DARK.jpg,dimension
168,PRIMARY,96,1604,HG,CROSS CELESTIAL LIGHT,83,45,24_HIGH_GLOSS,168_1604_HG_CROSS_CELESTIAL_LIGHT.jpg,dimension
169,PRIMARY,19,1547,HG,TANGLE SMOKE,84,45,24_HIGH_GLOSS,169_1547_HG_TANGLE_SMOKE.jpg,dimension
170,PRIMARY,55,1577,HG,FRENCH MARBLE,84,45,24_HIGH_GLOSS,170_1577_HG_FRENCH_MARBLE.jpg,dimension
171,PRIMARY,53,1576,HG,TRENTA STONE,85,46,24_HIGH_GLOSS,171_1576_HG_TRENTA_STONE.jpg,dimension
172,PRIMARY,35,1550,HG,VALLY STONE,85,46,24_HIGH_GLOSS,172_1550_HG_VALLY_STONE.jpg,dimension
173,PRIMARY,31,1549,HG,FOSSIL MARBLE,86,46,24_HIGH_GLOSS,173_1549_HG_FOSSIL_MARBLE.jpg,dimension
174,PRIMARY,24,1548,HG,OUREA MARBLE,86,46,24_HIGH_GLOSS,174_1548_HG_OUREA_MARBLE.jpg,dimension
175,PRIMARY,162,1729,HG,SIGNET RED,88,47,24_HIGH_GLOSS,175_1729_HG_SIGNET_RED.jpg,dimension
176,PRIMARY,155,1727,HG,SAHARA RED WOOD,89,48,24_HIGH_GLOSS,176_1727_HG_SAHARA_RED_WOOD.jpg,dimension
177,PRIMARY,152,1726,HG,SAHARA CREAM WOOD,90,48,24_HIGH_GLOSS,177_1726_HG_SAHARA_CREAM_WOOD.jpg,dimension
178,PRIMARY,158,1728,HG,AVOISE OAK,90,48,24_HIGH_GLOSS,178_1728_HG_AVOISE_OAK.jpg,dimension
179,PRIMARY,67,1590,HG,NATURAL SATEEN WOOD,91,49,24_HIGH_GLOSS,179_1590_HG_NATURAL_SATEEN_WOOD.jpg,dimension
180,PRIMARY,125,1712,HG,BURK NATURAL,91,49,24_HIGH_GLOSS,180_1712_HG_BURK_NATURAL.jpg,dimension
